spat,comp
258.6,0.3
343.8333333333333,0.9
381.125,0.25
352.57142857142856,1.0
477.0,0.9
329.2,1.0
498.6666666666667,0.7
345.4,0.3
219.0,0.6
290.14285714285717,0.4
495.4,1.0
383.75,0.1
157.66666666666666,0.2
290.0,0.5666666666666667
337.8,0.3
398.2,0.2
356.3333333333333,0.5333333333333333
261.5,0.1
313.25,0.3
336.4,0.3
414.3333333333333,0.5
142.33333333333334,0.4
399.3333333333333,0.3
490.0,0.3
492.57142857142856,1.0
262.3333333333333,0.7
228.5,0.3
322.0,0.3
353.8333333333333,1.0
544.5,0.5
155.0,0.4
346.5,0.8
490.0,0.1
377.8,0.2
466.25,0.3
400.5,0.1
321.0,0.4
391.75,0.3
487.6,0.3
364.2857142857143,0.3
407.0,0.5
291.5,0.7
329.5,0.3
139.0,0.6
319.6666666666667,0.4
409.3333333333333,0.2
322.0,1.0
429.5,0.1
213.25,0.8
411.6666666666667,0.1
280.25,0.5
491.6666666666667,1.0
438.75,0.5
474.75,0.1
212.0,1.0
257.75,1.0
450.0,0.6
317.75,0.15
490.0,0.8
392.75,0.5
398.6666666666667,0.2
404.2857142857143,0.625
372.0,0.55
159.5,0.4
268.6666666666667,0.2
373.5,0.1
446.0,1.0
376.6,0.7
545.0,0.15
161.25,1.0
366.2,0.55
310.25,0.1
599.0,0.15
480.75,0.15
341.42857142857144,0.9
308.5,0.7
135.75,0.8
318.85714285714283,0.3
374.6666666666667,1.0
504.0,0.3
415.0,1.0
306.5,0.2
375.0,0.55
244.0,0.2
302.3333333333333,0.3
312.6666666666667,0.5
550.5,0.1
547.5,0.55
438.25,0.5
251.5,0.1
414.8,0.1
271.1666666666667,0.4
274.6666666666667,0.6
349.0,0.75
137.0,0.4
289.75,0.2
250.5,0.5
167.75,0.25
391.4,0.1
226.5,1.0
166.75,0.3
281.0,0.9
253.66666666666666,0.7
332.8333333333333,0.4
321.5,0.3
290.6666666666667,0.5
461.0,0.75
236.0,0.4
366.5,0.1
336.0,0.4
370.1111111111111,0.5
106.5,0.2
297.0,0.7
165.0,0.4
383.0,0.4
691.5,0.5
413.7142857142857,1.0
382.0,0.9
223.33333333333334,1.0
459.0,0.3
359.3333333333333,0.4
464.6666666666667,0.4
689.6666666666666,0.2
170.25,0.2
381.0,0.6
468.0,0.2
178.0,0.1
328.0,0.45
282.6666666666667,0.25
407.5,0.3
262.5,0.4
175.5,0.4
164.66666666666666,0.9
215.0,0.6
236.33333333333334,0.9
364.5,0.65
363.3333333333333,0.8333333333333334
278.3333333333333,0.85
299.5,0.9
243.5,0.4
290.0,0.3
429.6666666666667,1.0
408.25,0.3
317.0,0.5
221.33333333333334,0.5
221.5,0.8
246.75,0.2
403.0,0.4
572.5,0.5
212.5,0.95
471.2,0.2
297.25,0.2
231.0,0.75
328.5,0.1
310.75,0.1
418.0,0.3
513.5,0.7
243.33333333333334,0.7
244.0,0.8
475.5,0.7
459.0,0.5
375.0,0.25
346.0,0.2
207.33333333333334,0.2
226.0,1.0
351.0,0.1
231.0,0.7
250.5,0.1
628.5,0.2
298.6666666666667,1.0
342.0,0.9
284.0,0.5
360.6666666666667,0.5
197.0,1.0
360.0,0.4333333333333333
326.0,0.3
316.5,0.1
