SessionID,ConceptA,ConceptB,xConceptA,yConceptB,xConceptB,yConceptB,Distance,NearestDistance,QstNr,QstDuration,ConceptClicksPerTest,RelativeDistance,NearestRelativeDistance
2350fd2e-2be4-4270-a39c-c6c24dec620b,Erde,Infrastruktur,301.0,385.0,760.0,339.0,461.29925211298576,359.0,2.0,18180.0,12.0,0.7570751499553376,0.7390085938022957
2350fd2e-2be4-4270-a39c-c6c24dec620b,Schule,Infrastruktur,752.0,158.0,760.0,339.0,181.1767093199344,101.0,2.0,18180.0,12.0,0.29734360883639227,0.20791049574939238
2350fd2e-2be4-4270-a39c-c6c24dec620b,Schule,Erde,752.0,158.0,301.0,385.0,504.9059318328514,380.5390912902379,2.0,18180.0,12.0,0.8286415646779994,0.783347238833432
2350fd2e-2be4-4270-a39c-c6c24dec620b,Ast,Schule,712.0,249.0,218.0,422.0,523.4166600329035,404.82712359722143,3.0,9933.0,5.0,0.7070293635612815,0.6494339213896496
2350fd2e-2be4-4270-a39c-c6c24dec620b,Baum,Schule,823.0,294.0,218.0,422.0,618.3922703268533,507.2760589659244,3.0,9933.0,5.0,0.8353220802962712,0.8137850973866628
2350fd2e-2be4-4270-a39c-c6c24dec620b,Lehrer,Schule,111.0,420.0,218.0,422.0,107.01868995647442,7.0,3.0,9933.0,5.0,0.14456046592848548,0.011229577231219765
2350fd2e-2be4-4270-a39c-c6c24dec620b,Laub,Schule,820.0,207.0,218.0,422.0,639.2409561346957,519.8355509197115,3.0,9933.0,5.0,0.8634844109658399,0.8339333523695107
2350fd2e-2be4-4270-a39c-c6c24dec620b,Baum,Ast,823.0,294.0,712.0,249.0,119.77478866606278,11.0,3.0,9933.0,5.0,0.16179135871588393,0.017646478506202486
2350fd2e-2be4-4270-a39c-c6c24dec620b,Lehrer,Ast,111.0,420.0,712.0,249.0,624.8535828496144,509.1974076917517,3.0,9933.0,5.0,0.8440499982812493,0.8168673736587747
2350fd2e-2be4-4270-a39c-c6c24dec620b,Laub,Ast,820.0,207.0,712.0,249.0,115.8792474949678,8.0,3.0,9933.0,5.0,0.15652927555110102,0.012833802549965447
2350fd2e-2be4-4270-a39c-c6c24dec620b,Lehrer,Baum,111.0,420.0,823.0,294.0,723.0629294881601,613.7263233722341,3.0,9933.0,5.0,0.976710834574185,0.984555306734437
2350fd2e-2be4-4270-a39c-c6c24dec620b,Laub,Baum,820.0,207.0,823.0,294.0,87.05170877128145,7.000000000000001,3.0,9933.0,5.0,0.11758913872862217,0.011229577231219767
2350fd2e-2be4-4270-a39c-c6c24dec620b,Laub,Lehrer,820.0,207.0,111.0,420.0,740.3039916142557,623.3538321050092,3.0,9933.0,5.0,1.0,1.0
2350fd2e-2be4-4270-a39c-c6c24dec620b,Physik,Fahrrad,690.0,233.0,626.0,70.0,175.1142484208524,83.0,4.0,18994.0,12.0,0.30500026332579355,0.172915916165187
2350fd2e-2be4-4270-a39c-c6c24dec620b,Lehrer,Fahrrad,500.0,210.0,626.0,70.0,188.35073665903195,65.39113089708727,4.0,18994.0,12.0,0.32805454037383297,0.13623093142346399
2350fd2e-2be4-4270-a39c-c6c24dec620b,Baum,Fahrrad,484.0,500.0,626.0,70.0,452.8399275682302,352.5109927363968,4.0,18994.0,12.0,0.7887210686637466,0.7343947140640198
2350fd2e-2be4-4270-a39c-c6c24dec620b,Erde,Fahrrad,757.0,629.0,626.0,70.0,574.1445810943442,480.0020833288122,4.0,18994.0,12.0,1.0,1.0
2350fd2e-2be4-4270-a39c-c6c24dec620b,Lehrer,Physik,500.0,210.0,690.0,233.0,191.38704240360684,90.0,4.0,18994.0,12.0,0.33334293957597744,0.18749918620321482
2350fd2e-2be4-4270-a39c-c6c24dec620b,Baum,Physik,484.0,500.0,690.0,233.0,337.23137457834497,214.9534833400008,4.0,18994.0,12.0,0.5873631584845188,0.4478178133088494
2350fd2e-2be4-4270-a39c-c6c24dec620b,Erde,Physik,757.0,629.0,690.0,233.0,401.6279372752847,316.0,4.0,18994.0,12.0,0.6995240406340937,0.6583304760023987
2350fd2e-2be4-4270-a39c-c6c24dec620b,Baum,Lehrer,484.0,500.0,500.0,210.0,290.4410439314664,210.0,4.0,18994.0,12.0,0.50586743042645,0.4374981011408346
2350fd2e-2be4-4270-a39c-c6c24dec620b,Erde,Lehrer,757.0,629.0,500.0,210.0,491.5384013482568,373.5906851087163,4.0,18994.0,12.0,0.8561230350922472,0.7783105492331754
2350fd2e-2be4-4270-a39c-c6c24dec620b,Erde,Baum,757.0,629.0,484.0,500.0,301.94370336206714,179.8054504179448,4.0,18994.0,12.0,0.5259018604452375,0.3745930625363016
2350fd2e-2be4-4270-a39c-c6c24dec620b,Schule,Infrastruktur,755.0,189.0,1083.0,40.0,360.25685281476603,238.2120903732638,5.0,19407.0,12.0,0.5684144618240826,0.46824242116924764
2350fd2e-2be4-4270-a39c-c6c24dec620b,Laub,Infrastruktur,521.0,333.0,1083.0,40.0,633.792552812038,508.7366705870533,5.0,19407.0,12.0,1.0,1.0
