Concept,ConceptTouched,ConceptUsed
Ast,38,22
Baum,33,21
Erde,40,20
Fahrrad,46,23
Infrastruktur,41,20
Laub,46,27
Lehrer,41,24
Photosynthese,33,20
Physik,37,23
Schule,31,20
